theme,subtheme,subtheme_definition
Research Skills,Quantitative,"Statistical methods, econometrics, regression, experimental design, causal inference, panel data, predictive modeling."
Research Skills,Qualitative,"Ethnography, interviews, case studies, field methods, narrative/discourse analysis."
Research Skills,Mixed Methods,Courses explicitly integrating both quantitative and qualitative methodologies.
Research Skills,Measurement & Survey Design,"Psychometrics, assessment development, instrument design, reliability/validity testing, survey methodology."
Research Skills,Evaluation & Cost Analysis,"Program evaluation, implementation analysis, impact evaluation, cost-effectiveness, benefit-cost assessment."
Research Skills,Data Analytics & Computational Methods,"Use of coding, data mining, visualization tools, machine learning, or analytical software (e.g., R, Python, Power BI, Stata coding, dashboarding) to work with, analyze, and interpret education-related datasets."
Policy Analysis,Policy Design & Strategy,"Policy formulation, implementation processes, system reform strategies, change management."
Policy Analysis,Finance & Economics,"Economics of education, funding models, resource allocation, ROI, cost structure of educational systems."
Policy Analysis,Accountability & Assessment,"Testing policy, performance metrics, standards-based reforms, accountability systems."
Policy Analysis,Teacher Workforce Policy,"Educator preparation, evaluation, teacher pipeline, professional development framed as policy."
Policy Analysis,Governance & Political Processes,"Policy-making processes, federalism, institutional structures, political economy of education."
Policy Analysis,Equity & Education Reform,"Policies addressing inequality, access, desegregation, cultural responsiveness, civil rights in education"
Communication & Influence,Policy Writing & Brief Development,"Development of policy briefs, executive summaries, memos, and other nontechnical research translation formats."
Communication & Influence,Stakeholder Engagement & Public Communication,"Communicating with policymakers, practitioners, or communities; public-oriented messaging; partnership facilitation."
Communication & Influence,Advocacy & Decision Support,"Using evidence to inform decisions, lead strategic conversations, influence policy direction."
Systems Knowledge,History of Education,"Historical evolution of U.S. and international education systems, policy reform trajectories."
Systems Knowledge,Philosophy & Ethics,"Theoretical perspectives on the purposes of schooling, ethics in education and decision-making."
Systems Knowledge,Sociological / Psychological Perspectives,"Cultural contexts, inequality, identity, learning science, community effects, motivation, and development."